City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,fortuna,40.5982,-124.1573,285.92,74,0,2.57,US,1733008796
83,okha,53.5739,142.9478,271.2,95,98,1.62,RU,1733008797
84,adrar,20.5022,-10.0711,292.23,19,54,5.18,MR,1733008798
85,geraldton,-28.7667,114.6,295.38,68,75,5.14,AU,1733008756
86,laguna,38.421,-121.4238,288.25,54,0,0.0,US,1733008800
87,quatre cocos,-20.2078,57.7625,297.21,74,2,3.32,MU,1733008801
88,port elizabeth,-33.918,25.5701,291.1,92,40,1.54,ZA,1733008803
89,byron bay,-28.65,153.6167,296.51,92,100,5.39,AU,1733009140
90,lihue,21.9789,-159.3672,299.92,71,0,3.6,US,1733009141
91,port douglas,-16.4833,145.4667,301.06,75,72,1.03,AU,1733009142
92,altai,46.3722,96.2583,261.19,68,71,1.22,MN,1733009143
93,tiksi,71.6872,128.8694,248.08,100,80,1.99,RU,1733009144
94,quang ngai,15.1167,108.8,293.04,89,93,1.52,VN,1733009145
95,ashkasham,36.6833,71.5333,262.02,85,72,1.68,AF,1733009147
96,castillos,-34.1667,-53.8333,288.28,74,5,2.9,UY,1733009148
97,jacobina,-11.1806,-40.5183,299.87,49,100,2.89,BR,1733009149
98,thompson,55.7435,-97.8558,260.24,78,100,3.6,CA,1733009150
99,nemuro,43.3236,145.575,275.04,68,3,6.44,JP,1733009151
100,maridi,4.9158,29.4742,294.03,51,74,0.35,SS,1733009152
101,ariquemes,-9.9133,-63.0408,299.27,80,86,1.47,BR,1733009085
102,bilibino,68.0546,166.4372,255.36,99,100,1.47,RU,1733009154
103,ilulissat,69.2167,-51.1,248.64,81,9,2.95,GL,1733009084
104,punta arenas,-53.15,-70.9167,281.21,71,40,9.77,CL,1733009157
105,salekhard,66.53,66.6019,266.01,84,100,4.8,RU,1733009158
106,college,64.8569,-147.8028,252.29,76,100,3.09,US,1733008871
107,andergrove,-21.0833,149.1833,299.64,79,21,2.12,AU,1733009160
108,pemangkat,1.1667,108.9667,298.9,88,90,1.83,ID,1733009161
109,dalandzadgad,43.5708,104.425,265.74,71,76,9.47,MN,1733009162
110,kruisfontein,-34.0033,24.7314,287.61,87,43,2.88,ZA,1733009163
111,kodiak,57.79,-152.4072,273.88,80,100,3.09,US,1733009165
112,gao,16.6362,1.637,292.4,18,0,4.86,ML,1733009166
113,colombo,6.9319,79.8478,300.15,82,88,6.89,LK,1733009140
114,chonchi,-42.6128,-73.8092,287.66,68,84,2.09,CL,1733009168
115,tofol,5.3248,163.0078,300.79,78,97,6.66,FM,1733009169
116,hithadhoo,-0.6,73.0833,299.8,83,100,8.82,MV,1733009170
117,zeya,53.75,127.2667,256.84,94,100,0.92,RU,1733009171
118,isafjordur,66.0755,-23.124,265.38,85,98,12.05,IS,1733009172
119,margaret river,-33.95,115.0667,290.26,69,84,5.4,AU,1733009174
120,hermanus,-34.4187,19.2345,287.48,78,81,3.85,ZA,1733009175
121,talnakh,69.4865,88.3972,262.56,72,100,9.03,RU,1733009176
122,hasaki,35.7333,140.8333,286.65,49,1,3.76,JP,1733009177
123,salinera colan,-5.0333,-81.0667,295.22,76,60,7.29,PE,1733009178
124,jamestown,42.097,-79.2353,267.6,71,20,6.69,US,1733009179
125,ulsteinvik,62.3432,5.8487,284.22,88,100,5.42,NO,1733009180
126,wailua homesteads,22.0669,-159.378,299.59,77,0,3.6,US,1733009181
127,trevelin,-43.0858,-71.4639,287.07,55,1,4.23,AR,1733009183
128,ras al khaimah city,25.7895,55.9432,294.48,52,0,1.96,AE,1733009185
129,volovets,48.7109,23.1851,274.75,96,30,1.66,UA,1733009186
130,salinopolis,-0.6136,-47.3561,300.18,81,4,3.95,BR,1733009187
131,ordynskoye,54.3656,81.8994,257.38,98,39,2.32,RU,1733009188
132,haiku-pauwela,20.9219,-156.3051,300.16,66,20,9.83,US,1733009189
133,amalapuram,16.5833,82.0167,297.89,87,100,4.46,IN,1733009191
134,chibougamau,49.9168,-74.3659,266.94,93,100,2.06,CA,1733009192
135,xinghua,32.9392,119.8342,280.71,65,31,3.07,CN,1733009193
136,masterton,-40.9597,175.6575,295.61,52,13,2.63,NZ,1733009194
137,goure,13.9835,10.2704,290.05,22,52,4.41,NE,1733009195
138,sao gabriel da cachoeira,-0.1303,-67.0892,299.9,66,58,1.17,BR,1733009196
139,san jose de jachal,-30.2406,-68.7469,299.63,37,0,4.76,AR,1733009197
140,kone,-21.0595,164.8658,305.37,40,1,1.14,NC,1733009199
141,ratnagiri,16.9833,73.3,295.55,53,100,1.75,IN,1733009200
142,petropavlovsk-kamchatsky,53.0452,158.6483,273.48,100,75,2.0,RU,1733009201
143,vadso,70.0744,29.7487,268.24,74,89,10.29,NO,1733009202
144,new norfolk,-42.7826,147.0587,296.44,63,94,2.98,AU,1733009203
145,carnarvon,-24.8667,113.6333,296.07,73,56,6.61,AU,1733009204
146,howard springs,-12.497,131.047,301.97,93,100,1.6,AU,1733009205
147,codrington,-38.2667,141.9667,288.55,95,100,5.56,AU,1733009206
148,buala,-8.145,159.5921,301.88,74,100,0.88,SB,1733009208
149,highfields,-27.4518,151.9463,293.91,95,100,2.72,AU,1733009209
150,eastham,41.8301,-69.9739,276.16,58,0,2.06,US,1733009210
151,lompoc,34.6391,-120.4579,295.94,44,0,1.54,US,1733009211
152,ponta delgada,37.7333,-25.6667,291.59,72,20,2.06,PT,1733009212
153,khon kaen,16.5,102.0833,290.09,85,51,0.43,TH,1733009213
154,la punta,-33.1837,-66.3127,292.54,84,100,0.32,AR,1733009214
155,puerto ayora,-0.7393,-90.3518,295.35,78,84,5.67,EC,1733009215
156,bonthe,7.5264,-12.505,299.68,77,6,2.09,SL,1733009217
157,cabo san lucas,22.8909,-109.9124,298.57,66,0,3.6,MX,1733009218
158,mogocha,53.7333,119.7667,246.55,96,35,1.8,RU,1733009219
159,sarvar,47.2539,16.9352,274.19,89,40,1.45,HU,1733009220
160,ujae,8.9322,165.7642,301.3,79,100,11.79,MH,1733009221
161,anadyr,64.75,177.4833,272.43,80,40,11.0,RU,1733009222
162,utrik,11.2278,169.8474,301.07,81,84,11.41,MH,1733009224
163,malaya vishera,58.8454,32.2222,276.55,91,100,6.13,RU,1733009226
164,nadym,65.5333,72.5167,265.53,95,100,7.41,RU,1733009227
165,albany,42.6001,-73.9662,272.38,68,100,0.89,US,1733009192
166,mo i rana,66.3128,14.1428,271.66,87,100,0.0,NO,1733009215
167,richards bay,-28.783,32.0377,291.71,86,3,2.38,ZA,1733009230
168,bykhaw,53.5193,30.2469,271.1,97,64,2.5,BY,1733009231
169,ternate,0.8,127.4,299.98,82,100,1.95,ID,1733009232
170,santa elena de uairen,4.6167,-61.1333,296.24,63,88,1.48,VE,1733009233
171,alice springs,-23.7,133.8833,302.9,45,40,6.17,AU,1733009235
172,whitehorse,60.7161,-135.0538,247.05,75,20,3.6,CA,1733009236
173,rajaori,33.3833,74.3,283.63,30,0,2.45,IN,1733009237
174,enewetak,11.3474,162.3373,301.29,80,100,9.98,MH,1733009238
175,egilsstadir,65.2653,-14.3948,270.1,93,100,11.83,IS,1733009239
176,priozersk,61.0393,30.1291,278.76,87,100,8.53,RU,1733009240
177,takoradi,4.8845,-1.7554,299.93,77,25,2.45,GH,1733009241
178,mariental,-24.6333,17.9667,298.22,10,0,0.77,NA,1733009243
179,el bolson,-41.9667,-71.5167,287.2,63,2,3.04,AR,1733009244
180,bredasdorp,-34.5322,20.0403,290.5,71,79,2.12,ZA,1733009246
181,sonqor,34.7837,47.6004,273.12,63,0,1.95,IR,1733009247
182,bangui,4.3612,18.555,296.67,50,15,0.76,CF,1733009248
183,katsuura,35.1333,140.3,285.11,64,0,5.25,JP,1733009249
184,port mathurin,-19.6833,63.4167,297.46,80,94,8.31,MU,1733009250
185,ancud,-41.8697,-73.8203,285.39,70,20,5.52,CL,1733009252
186,quellon,-43.1167,-73.6167,284.74,76,95,1.07,CL,1733009196
187,bomi,7.2461,-11.5258,298.17,87,5,0.81,SL,1733009254
188,portland,45.5234,-122.6762,282.03,72,75,0.45,US,1733009255
189,yeppoon,-23.1333,150.7333,300.66,68,35,2.88,AU,1733009256
190,akureyri,65.6835,-18.0878,268.11,86,100,8.75,IS,1733009257
191,luderitz,-26.6481,15.1594,291.28,56,1,9.23,NA,1733009258
192,ad dabbah,18.05,30.95,289.65,33,6,4.71,SD,1733009259
193,pimentel,-6.8367,-79.9342,295.31,73,0,8.75,PE,1733009262
194,rabo de peixe,37.8,-25.5833,290.92,99,20,2.06,PT,1733009263
195,pontianak,-0.0333,109.3333,297.14,94,75,2.06,ID,1733009264
196,pajara,28.3504,-14.1076,291.88,33,100,2.52,ES,1733009265
197,kargil,34.5667,76.1,267.34,61,39,1.73,IN,1733009266
198,minas de marcona,-15.2119,-75.1103,289.62,83,67,6.57,PE,1733009268
199,flying fish cove,-10.4217,105.6791,301.02,81,99,4.94,CX,1733009270
200,papao,-17.75,-149.55,302.97,73,44,2.06,PF,1733009271
201,pamandzi,-12.7967,45.2794,301.03,78,40,4.12,YT,1733009272
202,larache,35.1932,-6.1557,294.1,55,97,2.96,MA,1733009273
203,zinjibar,13.1287,45.3807,298.74,67,43,2.19,YE,1733009274
204,urangan,-25.3,152.9,298.49,80,38,5.68,AU,1733009276
205,severo-yeniseyskiy,60.3725,93.0408,251.74,94,22,1.64,RU,1733009277
206,kourou,5.1552,-52.6478,297.18,93,29,2.99,GF,1733009278
207,kalach-na-donu,48.691,43.5264,272.14,87,90,1.59,RU,1733009279
208,horncastle,53.2077,-0.1172,284.39,100,40,5.14,GB,1733009280
209,santa ana de yacuma,-13.75,-65.4333,303.12,74,75,3.09,BO,1733009281
210,george town,5.4112,100.3354,298.12,89,20,1.03,MY,1733008547
211,ulysses,37.5814,-101.3552,283.17,27,0,0.0,US,1733009284
212,daru,-9.0763,143.2092,302.38,72,100,1.44,PG,1733009285
213,argo,37.6333,22.7333,284.8,80,68,2.04,GR,1733009286
214,dadukou,26.5479,101.7054,281.94,87,27,0.61,CN,1733009287
215,san pedro pochutla,15.7333,-96.4667,302.99,59,0,1.82,MX,1733009288
216,kerikeri,-35.2268,173.9474,293.1,69,100,3.13,NZ,1733009289
217,pont rouge,48.8833,-72.0825,267.91,87,100,2.26,CA,1733009290
218,puerto santa,-8.9906,-78.6456,293.31,84,59,5.1,PE,1733009291
219,weno,7.4515,151.8468,304.12,70,40,5.66,FM,1733009293
